epoch,accuracy,loss,val_accuracy,val_loss
0,0.47181999683380127,1.5364890098571777,0.5296130776405334,1.2684842348098755
1,0.5424701571464539,1.1944034099578857,0.5485484004020691,1.1615172624588013
2,0.5524818301200867,1.1386358737945557,0.5595868229866028,1.1211085319519043
3,0.5612955093383789,1.1097239255905151,0.5627039670944214,1.1001476049423218
4,0.5655984878540039,1.0889801979064941,0.5721654891967773,1.074927806854248
5,0.570867121219635,1.071708083152771,0.5746837258338928,1.060585379600525
6,0.5766491889953613,1.0567468404769897,0.5852576494216919,1.0433992147445679
7,0.5824862718582153,1.0445505380630493,0.5883259177207947,1.0356149673461914
8,0.5835986733436584,1.0371555089950562,0.5899150371551514,1.026544213294983
9,0.5871132016181946,1.0275006294250488,0.5900372862815857,1.020685076713562
10,0.5897108316421509,1.020189642906189,0.5951714515686035,1.0139248371124268
11,0.5905848741531372,1.0153558254241943,0.5952203273773193,1.0150777101516724
12,0.5940321087837219,1.0091971158981323,0.5977262854576111,1.0059832334518433
13,0.5948327779769897,1.0055136680603027,0.5970295071601868,1.0092272758483887
14,0.5957496166229248,1.0021655559539795,0.5991809964179993,1.001141905784607
15,0.5976627469062805,0.9976435899734497,0.5975918173789978,0.9967848658561707
16,0.5978521704673767,0.9947119355201721,0.5945724844932556,0.9978684782981873
17,0.5984817743301392,0.9920130372047424,0.5987042188644409,0.9899049997329712
18,0.5996002554893494,0.9875866174697876,0.6009045839309692,0.9871178269386292
19,0.5998386144638062,0.9867200255393982,0.60227370262146,0.9862573146820068
20,0.6021673679351807,0.9821483492851257,0.603410542011261,0.9807133078575134
21,0.6015622615814209,0.9794692397117615,0.6046451926231384,0.9789698123931885
22,0.6027052402496338,0.9775192737579346,0.6033372282981873,0.9758176803588867
23,0.6031025052070618,0.9745288491249084,0.6025304198265076,0.9781802296638489
24,0.6035425662994385,0.9729095101356506,0.6025059819221497,0.9777687788009644
25,0.6038176417350769,0.9696123600006104,0.6065154671669006,0.9698013067245483
26,0.6037504076957703,0.9697391390800476,0.6044740676879883,0.9711633920669556
27,0.6055657267570496,0.966590404510498,0.6032760739326477,0.9715752005577087
28,0.605309009552002,0.9648451805114746,0.6047430038452148,0.969127893447876
29,0.6057612895965576,0.963638424873352,0.6070411205291748,0.9644575715065002
30,0.6056329607963562,0.9611777067184448,0.6060998439788818,0.9619672894477844
31,0.6064091920852661,0.9594467878341675,0.6073834300041199,0.9607062935829163
32,0.6072282195091248,0.9576119780540466,0.6076156497001648,0.9607554078102112
33,0.6073993444442749,0.9569250345230103,0.6057575941085815,0.963339626789093
34,0.6080228090286255,0.9549815654754639,0.6064910292625427,0.9592915177345276
35,0.6092513203620911,0.953549861907959,0.6078357100486755,0.9567122459411621
36,0.6093429923057556,0.9516039490699768,0.6085569262504578,0.9573100805282593
37,0.6086401343345642,0.9511577486991882,0.6060143113136292,0.9558128118515015
38,0.608511745929718,0.9503821730613708,0.6062098741531372,0.9554982781410217
39,0.6108099222183228,0.9478610157966614,0.6095592975616455,0.9507728219032288
40,0.6106693148612976,0.9472578167915344,0.6094982028007507,0.9538384079933167
41,0.6111766695976257,0.9459241628646851,0.6075423359870911,0.9537783265113831
42,0.6124540567398071,0.9436308741569519,0.6086058020591736,0.9514931440353394
43,0.6116595268249512,0.9424391984939575,0.6090214252471924,0.9499334096908569
44,0.6123318672180176,0.9413688778877258,0.6104883551597595,0.9473010301589966
